name,link,origin,birth,origin_point,birth_point,spotify_id,genre
Judee Sill,/wiki/Judee_Sill,,"Los Angeles, California","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-118.25703, 34.05513], ""type"": ""Point""}",2IkwqvwEnXFlZEq6eFP1wL,folk
Simon & Garfunkel,/wiki/Simon_%26_Garfunkel,"Forest Hills, Queens, New York City, U.S.",,"{""coordinates"": [-73.845018, 40.721004], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",70cRZdQywnSFp9pnc2WTCE,folk
Patrick Sky,/wiki/Patrick_Sky,,"College Park, Georgia","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-84.459095, 33.639297], ""type"": ""Point""}",7ITHPA1zmcUkgnPKeO8mUS,folk
Langhorne Slim,/wiki/Langhorne_Slim,,"Langhorne, Pennsylvania","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-74.921074, 40.177614], ""type"": ""Point""}",099toTcKJoywTosZr2hHjy,folk
Chloe Smith,/wiki/Chloe_Smith_(musician),"New Orleans, Louisiana, USA","Atlanta, Georgia","{""coordinates"": [-89.889852, 30.056708], ""type"": ""Point""}","{""coordinates"": [-84.414581, 33.769805], ""type"": ""Point""}",7lLK9mKP9CJuRhIR5URoFg,folk
Elliott Smith,/wiki/Elliott_Smith,,"Omaha, Nebraska","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-95.989632, 41.261377], ""type"": ""Point""}",2ApaG60P4r0yhBoDCGD8YG,folk
Michael Peter Smith,/wiki/Michael_Peter_Smith,,"South Orange, New Jersey","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-74.26126, 40.74899], ""type"": ""Point""}",5aBxFPaaGk9204ssHUvXWN,folk
Mindy Smith,/wiki/Mindy_Smith,,"Long Island, New York","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-73.9364, 40.753453], ""type"": ""Point""}",4QGC11o7gQR7MBEJ5cUMSv,folk
Stephan Smith,/wiki/Stephan_Smith,"Cleveland, Ohio","Cleveland, Ohio","{""coordinates"": [-81.651327, 41.496551], ""type"": ""Point""}","{""coordinates"": [-81.651327, 41.496551], ""type"": ""Point""}",5z9hHWeWPT4olToAy5cGfw,folk
Solas,/wiki/Solas_(group),"Philadelphia, Pennsylvania, United States",,"{""coordinates"": [-75.168428, 39.990821], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",5awFg11m6qCdmOsy8LxEvc,folk
Faith Soloway,/wiki/Faith_Soloway,,"Chicago, Illinois","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-87.66063, 41.87897], ""type"": ""Point""}",3Mu22Y9BefRhJRYhyfP463,folk
Leah Song,/wiki/Leah_Song,"New Orleans, Louisiana, USA","Atlanta, Georgia","{""coordinates"": [-89.889852, 30.056708], ""type"": ""Point""}","{""coordinates"": [-84.414581, 33.769805], ""type"": ""Point""}",2aYGkbB8xdACbyp7BYR8Gv,folk
Rosalie Sorrels,/wiki/Rosalie_Sorrels,,"Boise, Idaho","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-115.884627, 43.945777], ""type"": ""Point""}",4n3F5413y5LjhB9aWgB9Wh,folk
Mark Spoelstra,/wiki/Mark_Spoelstra,,"Kansas City, Missouri","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-94.541464, 39.051001], ""type"": ""Point""}",1YfYCpbdjUOzremMD0KqXi,folk
Bill Staines,/wiki/Bill_Staines,,"Medford, Massachusetts","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-71.108086, 42.42436], ""type"": ""Point""}",1yzH2rThCjpWpfhgiB7wAK,folk
James Lee Stanley,/wiki/James_Lee_Stanley,,Philadelphia,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-75.168428, 39.990821], ""type"": ""Point""}",6VBsOzX05iaVzcEeLdV1Yq,folk
Jody Stecher,/wiki/Jody_Stecher,,Brooklyn,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-73.956582, 40.652256], ""type"": ""Point""}",1mRgiIS98mLuRaQXADGA6D,folk
Sufjan Stevens,/wiki/Sufjan_Stevens,,"Detroit, Michigan","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-83.164558, 42.398648], ""type"": ""Point""}",4MXUO7sVCaFgFjoTI5ox5c,folk
The Story,/wiki/The_Story_(American_band),"Boston, Massachusetts, U.S.",,"{""coordinates"": [-71.048611, 42.355492], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",6meTcQ79DrfkIuSLPZkpBg,folk
Sweet Honey in the Rock,/wiki/Sweet_Honey_in_the_Rock,"Washington, D.C.",,"{""coordinates"": [-77.01712, 38.82652], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",3d4KAl1xvEw3akBK6CVCCA,folk
Taylor Swift,/wiki/Taylor_Swift,"Nashville, Tennessee, US","West Reading, Pennsylvania","{""coordinates"": [-86.834683, 36.236907], ""type"": ""Point""}","{""coordinates"": [-75.947603, 40.334189], ""type"": ""Point""}",06HL4z0CvFAxyc27GXpf02,folk
The Tarriers,/wiki/The_Tarriers,New York City,,"{""coordinates"": [-73.9708, 40.68295], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",44ByB5FFQnNnFK3nYTZX7w,folk
James Taylor,/wiki/James_Taylor,,"Boston, Massachusetts","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-71.048611, 42.355492], ""type"": ""Point""}",0vn7UBvSQECKJm2817Yf1P,folk
Livingston Taylor,/wiki/Livingston_Taylor,"Chapel Hill, North Carolina, U.S.",Boston,"{""coordinates"": [-79.035496, 35.930208], ""type"": ""Point""}","{""coordinates"": [-71.048611, 42.355492], ""type"": ""Point""}",2dMPVdTlcLlRcWtsrEXwAO,folk
Luke Temple,/wiki/Luke_Temple,"Boston, Massachusetts, United States",,"{""coordinates"": [-71.048611, 42.355492], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",6MUv39LOn5bz2QW4SBKE85,folk
