,name,link,origin,birth,origin_point,birth_point,spotify_id,genre
25,C. J. Chenier,/wiki/C._J._Chenier,,"Port Arthur, Texas",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00h\\8\x10\x92yW\xc0\xe0H\xa0\xc1\xa6\xae=@',2dNbwxgYSvdnMGWsYHJ38j,folk
26,Clifton Chenier,/wiki/Clifton_Chenier,,Opelousas,b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00vR_\x96v\x05W\xc0e\x8fP3\xa4\x86>@',3LzQVHowQWbzJBwBBNRPfY,folk
27,Geno Delafose,/wiki/Geno_Delafose,,"Eunice, Louisiana",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00\xdc\xd8\xecH\xf5\x1aW\xc0\x88\x10W\xce\xde}>@',7zKDS8dI38NouMTa55W2xr,folk
28,John Delafose,/wiki/John_Delafose,,Evangeline Parish,b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00\n-\xeb\xfe\xb1\x19W\xc0\xf6\xcf\xd3\x80A\xba>@',4FUWfaBOkbbPUUivMD7M3w,folk
29,Queen Ida,/wiki/Queen_Ida,,"Lake Charles, Louisiana",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00-\x98\xf8\xa3\xa8MW\xc0f\x84\xb7\x07!4>@',4ownYCUB1wbXdo3eTnakwq,folk
30,Beau Jocque,/wiki/Beau_Jocque,,"Evangeline Parish, Louisiana",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00\n-\xeb\xfe\xb1\x19W\xc0\xf6\xcf\xd3\x80A\xba>@',7lXjOGZAeqkWTGYKkmVtGW,folk
31,Rosie Ledet,/wiki/Rosie_Ledet,,"Church Point, Louisiana",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00\xc1\xe4F\x91\xb5\rW\xc0\xed\xf3\x18\xe5\x99g>@',08Utsn05gzPaciVeIBnkeP,folk
32,D. L. Menard,/wiki/D._L._Menard,,"Erath, Louisiana",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00\x97\xc4Y\x115\x02W\xc0\xc8\xce\xdb\xd8\xec\xf4=@',1gEdV73o3X847usz85JTGl,folk
33,Jimmy C. Newman,/wiki/Jimmy_C._Newman,,"Mamou, Louisiana",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00\xa6\x0c\x1c\xd0\xd2\x1aW\xc0\xe3\xde\xfc\x86\x89\xa2>@',4I2LAvm6wV4SY7sp3qpdDH,folk
34,Steve Riley and the Mamou Playboys,/wiki/Steve_Riley_and_the_Mamou_Playboys,"Louisiana, United States",,b'\x01\x01\x00\x00\x00\x10\xaf\xeb\x17\xec W\xc0\xe3\xc6-\xe6\xe7\x8a>@',b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',7F8pZngjUPLEQOgYztIhB9,folk
